Processado,Método,URI,Marcadores
true,GET,https://g1.globo.com/mg/minas-gerais/carnaval/2026/,
true,GET,https://g1.globo.com/carros/,
true,GET,https://g1.globo.com/carros/motos/,
true,GET,https://g1.globo.com/carros/dinheiro-sobre-rodas/,
true,GET,https://g1.globo.com/ciencia/,
true,GET,https://g1.globo.com/ciencia-e-saude/viva-voce/,
true,GET,https://g1.globo.com/economia/,
true,GET,https://g1.globo.com/economia/bitcoin/,
true,GET,https://g1.globo.com/economia/calculadoras/,
true,GET,https://g1.globo.com/economia/dolar/,
true,GET,https://g1.globo.com/economia/educacao-financeira/,
true,GET,https://g1.globo.com/economia/imposto-de-renda/,
true,GET,https://g1.globo.com/economia/midia-e-marketing/,
true,GET,https://g1.globo.com/economia/open-banking/,
true,GET,https://g1.globo.com/educacao/,
true,GET,https://g1.globo.com/educacao/enem/2025/,
false,GET,http://www.w3.org/TR/xhtml1/DTD/xhtml1-strict.dtd,Fora do Escopo
true,GET,https://g1.globo.com/educacao/guia-de-carreiras/,
false,GET,https://especiais.g1.globo.com/educacao/enem/2023/simula/,Fora do Escopo
false,GET,http://especiais.g1.globo.com/educacao/guia-de-carreiras/2017/teste-vocacional/,Fora do Escopo
true,GET,https://g1.globo.com/educacao/universidades.html,
true,GET,https://g1.globo.com/empreendedorismo/,
true,GET,https://g1.globo.com/empreendedorismo/pegn/,
true,GET,https://g1.globo.com/empreendedorismo/menos30fest/,
true,GET,https://g1.globo.com/empreendedorismo/dia-do-empreendedor/,
true,GET,https://g1.globo.com/sitemap-carros-assuntos.xml,
true,GET,https://g1.globo.com/sitemap-educacao-universidades.xml,
true,GET,https://g1.globo.com/fato-ou-fake/,
true,GET,https://g1.globo.com/especiais/guia-de-compras/,
true,GET,https://g1.globo.com/inovacao/,
false,GET,https://globoplay.globo.com/v/61910/,Fora do Escopo
true,GET,https://g1.globo.com/loterias/,
true,GET,https://g1.globo.com/meio-ambiente/,
true,GET,https://g1.globo.com/busca/?q=ZAP,
true,GET,https://g1.globo.com/meio-ambiente/amazonia/,
true,GET,https://g1.globo.com/meio-ambiente/globo-natureza/,
true,GET,https://g1.globo.com/meio-ambiente/sustentabilidade/,
true,GET,https://g1.globo.com/monitor-da-violencia/,
true,GET,https://g1.globo.com/mundo/,
true,GET,https://g1.globo.com/mundo/ucrania-russia/,
true,GET,https://g1.globo.com/olha-que-legal/,
true,GET,https://g1.globo.com/politica/,
true,GET,https://g1.globo.com/pop-arte/,
